Date,open,close,high,low,volumn,price_change,day,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,percent_change
2016-06-01,264.95,265.5,269.8,263.0,31910.0,-0.011000000000000001,2016-06-01,258.48,261.26,261.7975,111398.0,164445.0,123100.0,0.029468786351299014
2016-06-02,261.5,261.45,265.0,260.1,29580.0,-0.013000000000000001,2016-06-02,259.37,260.70500000000004,262.1175,111648.0,151942.0,113631.0,-0.015254237288135686
2016-06-03,256.45,261.6,264.85,255.2,49990.0,-0.019299999999999998,2016-06-03,260.09,260.39500000000004,261.99750000000006,115756.0,80908.0,113296.0,0.0005737234652898326
2016-06-06,261.15,260.0,274.9,259.5,118130.0,0.0183,2016-06-06,261.28999999999996,259.595,262.24750000000006,129082.0,86437.0,117518.0,-0.006116207951070374
2016-06-07,258.55,262.05,263.15,258.0,29380.0,-0.01,2016-06-07,262.12,259.34,262.26750000000004,51798.0,84395.0,112611.5,0.00788461538461549
2016-06-08,256.5,258.7,260.5,255.0,59760.0,-0.0079,2016-06-08,260.76,259.62,262.1025,57368.0,84383.0,113420.5,-0.012783819881702074
2016-06-09,256.85,258.0,262.5,256.2,45090.0,0.0014000000000000002,2016-06-09,260.07,259.71999999999997,261.89750000000004,60470.0,86059.0,113517.0,-0.0027058368766911256
2016-06-10,255.55,259.05,260.0,254.5,57370.0,-0.0051,2016-06-10,259.56000000000006,259.825,261.61499999999995,61946.0,88851.0,108251.5,0.004069767441860606
2016-06-13,253.45,258.0,263.75,251.0,230710.0,-0.008199999999999999,2016-06-13,259.16,260.225,261.11499999999995,84462.0,106772.0,117535.5,-0.004053271569195216
2016-06-14,253.05,255.7,261.0,252.25,91640.0,-0.0016,2016-06-14,257.89,260.005,260.525,96914.0,74356.0,119584.5,-0.00891472868217058
2016-06-15,253.0,254.15,256.6,252.1,42600.0,-0.0002,2016-06-15,256.98,258.87,260.065,93482.0,75425.0,119935.0,-0.006061791161517283
2016-06-16,252.8,254.0,255.85,252.0,43700.0,-0.0008,2016-06-16,256.18,258.125,259.415,93204.0,76837.0,114389.5,-0.0005902026362384349
2016-06-17,253.65,254.9,255.95,252.1,44700.0,0.0034000000000000002,2016-06-17,255.35,257.45500000000004,258.925,90670.0,76308.0,78608.0,0.0035433070866142113
2016-06-20,256.05,252.0,259.7,250.7,98390.0,0.0095,2016-06-20,254.15,256.65500000000003,258.125,64206.0,74334.0,80385.5,-0.011377010592389158
2016-06-21,252.1,256.95,256.95,251.3,500990.0,-0.0154,2016-06-21,254.4,256.145,257.7425,146076.0,121495.0,102945.0,0.019642857142857073
2016-06-22,254.2,252.5,262.3,252.5,472380.0,0.0083,2016-06-22,254.07,255.525,257.57250000000005,232032.0,162757.0,123570.0,-0.017318544463903462
2016-06-23,250.7,255.0,256.7,245.5,119820.0,-0.0138,2016-06-23,254.26999999999998,255.225,257.4725,247256.0,170230.0,128144.5,0.00990099009900991
2016-06-24,243.65,247.85,263.0,235.3,132170.0,-0.0281,2016-06-24,252.85999999999999,254.10499999999996,256.96500000000003,264750.0,177710.0,133280.5,-0.028039215686274543
2016-06-27,248.4,243.65,252.05,243.65,58330.0,0.0195,2016-06-27,251.19,252.67000000000002,256.4475,256738.0,160472.0,133622.0,-0.01694573330643534
2016-06-28,250.05,249.0,253.3,248.0,76640.0,0.0066,2016-06-28,249.6,252.0,256.0025,171868.0,158972.0,116664.0,0.021957726246665255
2016-06-29,252.3,252.35,256.85,251.55,83310.0,0.009000000000000001,2016-06-29,249.57,251.82,255.34499999999997,94054.0,163043.0,119234.0,0.013453815261044166
2016-06-30,255.5,254.6,257.0,254.5,82430.0,0.0127,2016-06-30,249.48999999999995,251.87999999999997,255.0025,86576.0,166916.0,121876.5,0.008916187834357103
2016-07-01,259.8,257.85,265.2,250.3,203130.0,0.0168,2016-07-01,251.49,252.175,254.81499999999997,100768.0,182759.0,129533.5,0.012765121759622966
2016-07-04,259.6,261.45,263.5,256.8,71940.0,-0.0008,2016-07-04,255.05,253.11999999999998,254.8875,103490.0,180114.0,127224.0,0.0139616055846421
2016-07-05,257.45,260.1,261.0,256.6,44680.0,-0.0083,2016-07-05,257.27,253.435,254.79000000000002,97098.0,134483.0,127989.0,-0.005163511187607495
2016-07-07,252.9,258.0,260.0,252.1,123040.0,-0.0177,2016-07-07,258.4,253.98499999999999,254.75499999999997,105044.0,99549.0,131153.0,-0.008073817762399127
2016-07-08,251.65,253.0,255.9,251.0,45530.0,-0.0049,2016-07-08,258.08000000000004,253.785,254.50499999999997,97664.0,92120.0,131175.0,-0.019379844961240345
2016-07-11,251.15,253.75,254.7,250.5,65110.0,-0.002,2016-07-11,257.26,254.375,254.23999999999995,70060.0,85414.0,131562.0,0.0029644268774704496
2016-07-12,250.25,251.5,253.9,249.25,41930.0,-0.0036,2016-07-12,255.26999999999998,255.16,253.91499999999996,64058.0,83774.0,122123.0,-0.00886699507389166
2016-07-13,247.65,250.65,252.5,245.65,48530.0,-0.0104,2016-07-13,253.38000000000002,255.325,253.6625,64828.0,80963.0,119967.5,-0.003379721669980129
2016-07-14,245.15,247.55,249.5,244.5,58800.0,-0.0101,2016-07-14,251.29000000000002,254.84500000000003,253.33250000000004,51980.0,78512.0,120777.5,-0.012367843606622797
2016-07-15,241.75,246.7,247.0,241.25,108520.0,-0.0139,2016-07-15,250.03000000000003,254.055,252.96750000000003,64578.0,81121.0,124018.5,-0.0034336497677237565
2016-07-18,236.85,243.9,243.9,235.75,54620.0,-0.0203,2016-07-18,248.06000000000003,252.66,252.41750000000002,62480.0,66270.0,124514.5,-0.011349817592217204
2016-07-19,231.2,230.0,236.0,230.0,184800.0,-0.0239,2016-07-19,243.76000000000005,249.51500000000001,251.31750000000002,91054.0,77556.0,128835.0,-0.05699056990569906
2016-07-20,232.0,232.2,234.5,231.0,93280.0,0.0034999999999999996,2016-07-20,240.07,246.725,250.07999999999998,100004.0,82416.0,108449.5,0.009565217391304337
2016-07-21,244.0,233.0,246.5,232.0,1070000.0,0.051699999999999996,2016-07-21,237.16,244.225,249.10499999999996,302244.0,177112.0,138330.5,0.003445305770887197
2016-07-22,251.3,246.0,255.0,245.95,261779.99999999997,0.029900000000000003,2016-07-22,237.01999999999998,243.525,248.65499999999997,332896.0,198737.0,145428.5,0.05579399141630903
2016-07-25,252.7,251.6,258.1,247.3,130820.0,0.005600000000000001,2016-07-25,238.56,243.31,248.84250000000003,348136.0,205308.0,145361.0,0.02276422764227637
2016-07-26,245.2,253.95,253.95,244.7,104010.0,-0.0297,2016-07-26,243.35,243.555,249.3575,331978.0,211516.0,147645.0,0.009340222575516588
2016-07-27,245.4,246.0,250.5,244.0,71710.0,0.0008,2016-07-27,246.10999999999999,243.09,249.20749999999998,327664.0,213834.0,147398.5,-0.03130537507383335
2016-07-28,246.3,246.0,255.4,242.0,132540.0,0.0037,2016-07-28,248.70999999999998,242.935,248.89000000000001,140172.0,221208.0,149860.0,0.0
2016-07-29,244.9,246.9,248.8,243.0,39620.0,-0.005699999999999999,2016-07-29,248.88999999999996,242.955,248.50500000000002,95740.0,214318.0,147719.5,0.003658536585365857
2016-08-01,242.45,244.5,248.0,242.0,37880.0,-0.01,2016-08-01,247.46999999999997,243.01499999999996,247.8375,77152.0,212644.0,139457.0,-0.009720534629404587
2016-08-02,241.3,242.0,247.55,240.1,52860.0,-0.004699999999999999,2016-08-02,245.08,244.21499999999997,246.86499999999995,66922.0,199450.0,138503.0,-0.010224948875255602
2016-08-03,237.25,241.3,244.85,235.6,69150.0,-0.0168,2016-08-03,244.14000000000001,245.125,245.925,66410.0,197037.0,139726.5,-0.002892561983470987
2016-08-04,237.1,237.25,240.6,236.6,25000.0,-0.0006,2016-08-04,242.39000000000001,245.55,244.8875,44902.0,92537.0,134824.5,-0.016784086199751358
2016-08-05,238.65,236.1,241.8,236.1,61280.0,0.006500000000000001,2016-08-05,240.23000000000002,244.56,244.04250000000002,49234.0,72487.0,135612.0,-0.004847207586933688
2016-08-08,243.65,240.0,245.9,239.0,59440.0,0.021,2016-08-08,239.33,243.4,243.35500000000002,53546.0,65349.0,135328.5,0.016518424396442244
2016-08-09,241.15,243.8,245.8,240.1,28710.0,-0.0103,2016-08-09,239.69,242.385,242.97000000000003,48716.0,57819.0,134667.5,0.015833333333333366
2016-08-10,237.35,241.5,243.9,236.2,26650.0,-0.0158,2016-08-10,239.73000000000002,241.935,242.5125,40216.0,53313.0,133573.5,-0.009433962264150941
2016-08-11,238.95,238.0,243.0,235.7,53010.0,0.0067,2016-08-11,239.88000000000002,241.135,242.035,45818.0,45360.0,133284.0,-0.01449275362318836
2016-08-12,236.5,245.0,245.0,235.1,154650.0,-0.0103,2016-08-12,241.66,240.945,241.95,64492.0,56863.0,135590.5,0.02941176470588225
2016-08-16,235.35,235.0,238.95,235.0,24610.0,-0.0049,2016-08-16,240.66,239.99499999999998,241.50500000000002,57526.0,55536.0,134090.0,-0.04081632653061229
2016-08-17,238.05,235.0,239.6,235.0,63170.0,0.0115,2016-08-17,238.9,239.295,241.75500000000002,64418.0,56567.0,128008.5,0.0
2016-08-18,241.0,241.1,242.0,237.55,53770.0,0.0124,2016-08-18,238.82,239.275,242.2,69842.0,55029.0,126033.0,0.025957446808510642
2016-08-19,240.75,241.0,245.45,240.0,63850.0,-0.001,2016-08-19,239.42,239.65,242.6,72010.0,58914.0,75725.5,-0.00041476565740350413
2016-08-22,237.05,239.55,242.1,235.85,93150.0,-0.0154,2016-08-22,238.33,239.99500000000003,242.2775,59710.0,62101.0,67294.0,-0.006016597510373423
2016-08-23,246.75,237.9,248.7,234.3,159570.0,0.0409,2016-08-23,238.91,239.78500000000003,241.59250000000003,86702.0,72114.0,68731.5,-0.006887914840325582
2016-08-24,252.4,243.5,257.8,243.5,284060.0,0.0229,2016-08-24,240.60999999999999,239.75500000000002,241.07000000000002,130880.0,97649.0,77734.0,0.02353930222782674
2016-08-25,253.9,252.75,260.8,251.2,129930.0,0.0059,2016-08-25,242.94,240.88000000000002,241.40750000000003,146112.0,107977.0,80645.0,0.037987679671458
2016-08-26,250.15,254.5,254.95,248.1,61440.0,-0.0148,2016-08-26,245.64000000000001,242.53000000000003,241.83250000000004,145630.0,108820.0,77090.0,0.006923837784371889
2016-08-29,243.7,250.0,251.0,241.85,34140.0,-0.0258,2016-08-29,247.73000000000002,243.03000000000003,241.9875,133828.0,96769.0,76816.0,-0.017681728880157177
2016-08-30,244.5,242.6,247.05,242.6,47070.0,0.0033,2016-08-30,248.67,243.79000000000002,241.89249999999998,111328.0,99015.0,77275.5,-0.02960000000000007
2016-08-31,246.1,242.0,247.9,241.0,59670.0,0.006500000000000001,2016-08-31,248.36999999999998,244.49,241.8925,66450.0,98665.0,77616.0,-0.002473206924979321
2016-09-01,245.2,244.4,254.0,243.8,56830.0,-0.0037,2016-09-01,246.7,244.82000000000002,242.04750000000004,51830.0,98971.0,77000.0,0.009917355371900749
2016-09-02,243.05,246.0,247.2,242.1,27710.0,-0.0088,2016-09-02,245.0,245.32000000000002,242.48500000000004,45084.0,95357.0,77135.5,0.006546644844517058
2016-09-06,240.65,243.2,245.0,240.1,50400.0,-0.009899999999999999,2016-09-06,243.64000000000001,245.685,242.84,48336.0,91082.0,76591.5,-0.011382113821138296
2016-09-07,238.35,242.4,243.0,237.5,61720.0,-0.0096,2016-09-07,243.6,246.135,242.95999999999998,51266.0,81297.0,76705.5,-0.003289473684210509
2016-09-08,240.4,237.0,242.8,237.0,74050.0,0.0086,2016-09-08,242.6,245.48499999999999,242.61999999999998,54142.0,60296.0,78972.5,-0.022277227722772297
2016-09-09,238.3,240.05,241.8,238.15,33100.0,-0.0087,2016-09-09,241.73000000000002,244.21499999999997,242.54749999999999,49396.0,50613.0,79295.0,0.01286919831223643
2016-09-12,235.0,235.95,237.9,234.4,39720.0,-0.0138,2016-09-12,239.71999999999997,242.35999999999999,242.445,51798.0,48441.0,78630.5,-0.01707977504686531
2016-09-14,238.55,235.15,240.55,235.1,62460.0,0.0151,2016-09-14,238.10999999999999,240.875,241.95250000000001,54210.0,51273.0,74021.0,-0.0033905488450942656
2016-09-15,238.45,236.6,241.0,236.6,43590.0,-0.0004,2016-09-15,236.95,240.275,242.03249999999997,50584.0,50925.0,74970.0,0.0061662768445671645
2016-09-16,235.95,238.45,239.95,235.0,66160.0,-0.0105,2016-09-16,237.24,239.92,242.20499999999998,49006.0,51574.0,75119.5,0.007819103972950048
2016-09-19,234.2,237.0,237.0,234.0,39700.0,-0.0074,2016-09-19,236.63000000000002,239.17999999999998,242.0,50326.0,49861.0,74416.0,-0.006080939400293528
2016-09-20,232.7,234.0,236.9,231.5,50830.0,-0.0064,2016-09-20,236.24,237.97999999999996,241.65,52548.0,52173.0,73765.0,-0.012658227848101222
2016-09-21,231.55,233.8,234.9,231.5,57620.0,-0.0049,2016-09-21,235.96999999999997,237.04000000000002,241.3625,51580.0,52895.0,71988.5,-0.0008547008547008517
2016-09-22,231.5,232.5,234.5,230.5,45100.0,-0.0002,2016-09-22,235.15,236.05,241.09249999999997,51882.0,51233.0,66265.0,-0.0055603079555175405
2016-09-23,228.95,233.5,233.5,228.2,65239.99999999999,-0.011000000000000001,2016-09-23,234.16,235.7,240.59249999999997,51698.0,50352.0,55324.0,0.004301075268817289
