Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,282500.0,282500.0,278000.0,279500.0,279500.0,89647
2021-04-09,278500.0,282000.0,277000.0,280500.0,280500.0,59869
2021-04-12,280000.0,281500.0,277500.0,280000.0,280000.0,58123
2021-04-13,281000.0,281500.0,278500.0,280000.0,280000.0,59138
2021-04-14,280000.0,282000.0,276000.0,277000.0,277000.0,113845
2021-04-15,276500.0,278000.0,273000.0,274000.0,274000.0,98145
2021-04-16,275000.0,278500.0,273000.0,277500.0,277500.0,80740
2021-04-19,278000.0,279000.0,275500.0,278000.0,278000.0,58741
2021-04-20,277000.0,282500.0,277000.0,281000.0,281000.0,78292
2021-04-21,279500.0,280000.0,273500.0,274500.0,274500.0,83687
2021-04-22,275000.0,275500.0,273000.0,273000.0,273000.0,55325
2021-04-23,271000.0,275000.0,270500.0,275000.0,275000.0,61586
2021-04-26,275000.0,281000.0,272500.0,281000.0,281000.0,99432
2021-04-27,280500.0,283500.0,278000.0,283500.0,283500.0,84383
2021-04-28,283500.0,293000.0,281000.0,290500.0,290500.0,255215
2021-04-29,289000.0,300000.0,287500.0,300000.0,300000.0,270085
2021-04-30,300000.0,315500.0,299000.0,304500.0,304500.0,329369
2021-05-03,304500.0,321000.0,304500.0,312500.0,312500.0,217201
2021-05-04,314500.0,319000.0,305000.0,315500.0,315500.0,180233
2021-05-06,314500.0,318000.0,308000.0,312500.0,312500.0,143297
2021-05-07,315500.0,321000.0,311500.0,315500.0,315500.0,129993
2021-05-10,314000.0,323500.0,311500.0,319000.0,319000.0,136190
2021-05-11,318000.0,322500.0,312000.0,322000.0,322000.0,114645
2021-05-12,321000.0,323500.0,313000.0,320000.0,320000.0,148742
2021-05-13,316000.0,322000.0,305500.0,307000.0,307000.0,236725
2021-05-14,309500.0,315000.0,306500.0,308000.0,308000.0,114256
2021-05-17,310000.0,322500.0,303500.0,318500.0,318500.0,149448
2021-05-18,316000.0,320500.0,309000.0,311500.0,311500.0,93459
2021-05-20,308500.0,315000.0,308000.0,311500.0,311500.0,57707
2021-05-21,311000.0,313000.0,300000.0,302000.0,302000.0,105193
2021-05-24,299500.0,305500.0,298500.0,302000.0,302000.0,54411
2021-05-25,302500.0,308500.0,301000.0,305500.0,305500.0,66135
2021-05-26,306000.0,316500.0,306000.0,314000.0,314000.0,183139
2021-05-27,317000.0,319500.0,309000.0,309000.0,309000.0,99511
2021-05-28,312500.0,316500.0,310500.0,315000.0,315000.0,110153
2021-05-31,318000.0,327500.0,315000.0,321500.0,321500.0,144445
2021-06-01,323500.0,324000.0,319000.0,320500.0,320500.0,60796
2021-06-02,320500.0,325000.0,316500.0,317500.0,317500.0,126546
2021-06-03,316500.0,322000.0,314500.0,318500.0,318500.0,80929
2021-06-04,317500.0,317500.0,304500.0,306000.0,306000.0,192768
2021-06-07,307000.0,308500.0,304000.0,305500.0,305500.0,73415
2021-06-08,306000.0,308500.0,304000.0,308000.0,308000.0,66398
2021-06-09,306000.0,314000.0,303000.0,306500.0,306500.0,98949
2021-06-10,308000.0,308000.0,304500.0,305000.0,305000.0,77389
2021-06-11,305500.0,306000.0,299000.0,299500.0,299500.0,114045
2021-06-14,300500.0,302000.0,297500.0,300000.0,300000.0,63462
2021-06-15,301000.0,302000.0,296500.0,301000.0,301000.0,61565
2021-06-16,302000.0,311000.0,300000.0,305000.0,305000.0,184091
2021-06-17,305500.0,306500.0,290000.0,291500.0,291500.0,472531
2021-06-18,291500.0,292000.0,278000.0,279500.0,279500.0,477758
2021-06-21,280000.0,284500.0,279500.0,281000.0,281000.0,186855
2021-06-22,283500.0,285000.0,281000.0,281500.0,281500.0,125190
2021-06-23,282500.0,283000.0,276000.0,278500.0,278500.0,128263
2021-06-24,278500.0,278500.0,273000.0,277000.0,277000.0,145145
2021-06-25,285000.0,286000.0,280000.0,284000.0,284000.0,219637
2021-06-28,284500.0,288000.0,281500.0,285000.0,285000.0,142695
2021-06-29,285500.0,288000.0,282500.0,287500.0,287500.0,103800
2021-06-30,285000.0,286500.0,284000.0,285500.0,285500.0,71789
