Date,Open,High,Low,Close,Volume
2021-04-21,119500,119500,117000,118000,4461636
2021-04-22,118000,119500,117500,117500,2279180
2021-04-23,116500,118500,114500,117500,2473720
2021-04-26,118000,118000,117500,118000,1729458
2021-04-27,118500,124500,118500,121500,5332544
2021-04-28,121500,122000,119000,119500,2276272
2021-04-29,120000,120500,115500,117000,3445462
2021-04-30,117000,117000,113000,113500,4405688
2021-05-03,112500,116000,110000,114500,2832622
2021-05-04,113500,116000,112000,115500,2228466
2021-05-06,115000,117500,113500,115000,3234424
2021-05-07,115500,117000,114000,114500,2040844
2021-05-10,115500,116500,114500,116000,1898994
2021-05-11,115000,117000,114500,114500,1875600
2021-05-12,115000,115500,112000,113000,2558482
2021-05-13,109000,111000,108000,109500,4201490
2021-05-14,109500,111500,108000,109000,2276082
2021-05-17,109000,111000,109000,110500,1656454
2021-05-18,111500,114500,111000,113000,1585701
2021-05-20,112500,115500,112000,113500,2135101
2021-05-21,116000,119000,114500,117000,3018548
2021-05-24,116500,118000,115500,116500,1715308
2021-05-25,117000,118000,116000,118000,1777001
2021-05-26,118500,120000,117500,119500,2308405
2021-05-27,120000,125000,119500,125000,7398732
2021-05-28,125000,125500,120500,122000,3685820
2021-05-31,122000,123000,120500,123000,2299358
2021-06-01,123500,127000,123000,127000,3573808
2021-06-02,128000,129500,126000,127000,2597446
2021-06-03,127500,128500,126000,126500,1737466
2021-06-04,126000,126000,123000,124000,2668254
2021-06-07,125000,127000,125000,126000,1905198
2021-06-08,127000,128500,126500,128500,2248373
2021-06-09,128500,130000,128500,129000,1936747
2021-06-10,130000,135000,129500,133500,5564011
2021-06-11,134500,136500,132000,135500,3674400
2021-06-14,136000,143000,136000,142500,6240394
2021-06-15,143500,144500,140500,144500,4950329
2021-06-16,144000,146000,142500,143000,4996272
2021-06-17,142000,149500,140500,148000,5408889
2021-06-18,150000,157500,149500,155000,7706345
2021-06-21,155500,159500,152000,155000,8324948
2021-06-22,158000,159000,155500,159000,4662042
2021-06-23,162500,170000,161000,169500,9078797
2021-06-24,172000,173000,155500,157000,18408195
2021-06-25,155000,159500,150500,154500,12271446
2021-06-28,154500,157500,154000,155000,5141409
2021-06-29,156000,158000,154500,158000,3938542
